id,cycle,interstage_alarms,inlet_pressure,inlet_temp,discharge_pressure,discharge_temp,stage_1_pressure,stage_1_temp,stage_2_pressure,stage_2_temp,stage_3_pressure,stage_3_temp,stage_4_pressure,stage_4_temp,encolusure_temp,ambient_temp,minutes_after,rul
6,22,0.0,191.0,8.381166115126728e-41,6.786768722417951e-41,87.5,220.037033081055,153.377624511719,230.5,186.298614501953,992.7999877929691,252.399993896484,109.833335876465,1215.19995117188,88.5,88.5,17.338716666666667,75
6,23,0.0,187.0,3.2632037338732e-41,3.5768143301890997e-41,88.5,90.0185165405273,162.48323059082,234.300003051758,194.979156494141,289.399993896484,289.399993896484,109.673614501953,1403.1999511718802,87.0,87.3000030517578,14.335716666666666,74
6,24,0.0,179.0,5.649474888771929e-41,5.175135358597979e-41,86.5,90.0740737915039,156.266220092773,236.199996948242,180.319442749023,313.79998779296903,1137.59997558594,108.971351623535,333.399993896484,89.0,88.5,19.170283333333334,73
6,25,0.0,233.0,8.309419633753299e-41,5.88601406954996e-41,87.0,93.0185165405273,155.251876831055,251.399993896484,196.855911254883,636.799987792969,250.800003051758,108.705726623535,794.400024414063,87.0,87.5999984741211,15.83895,72
6,26,0.0,74.5,3.470455776746839e-41,5.83290485775205e-41,89.0,102.018516540527,152.70486450195298,224.199996948242,179.72395324707,455.200012207031,220.5,109.205726623535,327.0,90.0,90.0,23.671333333333333,71
6,27,0.0,101.5,3.14101050778408e-41,4.295680442387729e-41,80.5,102.38889312744101,155.86111450195298,225.699996948242,175.043395996094,221.600006103516,221.600006103516,108.562065124512,328.0,89.5,89.5999984741211,23.337933333333336,70
6,28,0.0,201.0,8.553806085931549e-41,5.428910510487209e-41,86.0,92.0185165405273,157.172470092773,250.699996948242,183.038192749023,256.79998779296903,256.79998779296903,107.391929626465,1124.80004882813,86.5,86.6999969482422,17.335833333333333,69
6,29,0.0,75.5,3.03997688850626e-41,7.961337095215021e-41,85.0,86.0185165405273,152.38137817382798,251.5,180.809020996094,253.199996948242,433.0,106.488716125488,463.600006103516,86.5,86.6999969482422,15.6684,68
6,30,0.0,214.0,3.0984110344685995e-41,5.624251516414089e-41,86.0,101.518516540527,142.486709594727,218.5,155.83508300781298,215.5,215.5,104.25998687744101,326.0,89.0,89.0999984741211,33.50633333333334,67
6,31,0.0,75.5,9.018897046240959e-41,3.6311847106049e-41,84.0,101.574073791504,150.342025756836,225.100006103516,167.911468505859,225.199996948242,225.199996948242,104.705726623535,470.799987792969,87.0,87.4000015258789,22.672050000000002,66
6,32,0.0,218.0,2.44666711871113e-42,8.995074972347429e-41,82.0,234.148147583008,147.592041015625,248.300003051758,186.55598449707,245.0,857.2000122070309,102.75998687744101,1000.4000244140599,85.0,85.3000030517578,18.839,65
6,33,0.0,260.0,6.895649613095989e-41,8.662686976609591e-41,81.0,275.555572509766,151.908584594727,251.199996948242,172.085067749023,505.399993896484,248.899993896484,101.53125,664.799987792969,83.5,83.5,18.335050000000003,64
6,34,0.0,216.0,8.646852303962719e-41,5.458057518545159e-41,82.0,235.777786254883,145.46008300781298,225.600006103516,181.424041748047,221.600006103516,221.600006103516,101.608940124512,327.20001220703097,84.5,84.5999984741211,24.840333333333334,63
6,35,0.0,76.0,4.9970303237822996e-42,7.91215151911721e-41,80.0,85.8888931274414,141.947357177734,242.600006103516,161.72395324707,239.5,401.200012207031,99.01953125,436.399993896484,82.5,82.5999984741211,20.669500000000003,62
6,36,0.0,79.5,6.63262589134222e-41,8.9457492664032e-41,82.5,88.5185165405273,118.722518920898,198.600006103516,122.958335876465,194.800003051758,194.800003051758,95.01953125,326.79998779296903,83.0,83.3000030517578,66.01395,61
