id,cycle,inlet_pressure,discharge_temp,stage_1_pressure,stage_1_temp,stage_2_pressure,stage_2_temp,stage_3_pressure,stage_3_temp,stage_4_pressure,stage_4_temp,encolusure_temp,ambient_temp,minutes_after,rul
4,68,75,75,86.07407379,141.960083,236.1000061,166.1110992,248.8000031,464.6000061,96.00043488,497,77,77,20.67255,21
4,69,75.5,74.5,85.51851654,133.960083,235.3000031,150.2048645,241.3999939,405.2000122,93.08550262,437.3999939,77.5,77.90000153,25.33823333,20
4,70,248,74,272.8148193,144.517807,454.2000122,175.4765625,254,526.4000244,95.94618225,652.4000244,75.5,75.59999847,19.5151,19
4,71,216,72.5,243.4074097,147.4687653,560,198.6879425,269.7999878,788.4000244,93.16319275,914.7999878,69.5,69.40000153,16.00533333,18
4,72,179,74,207.4074097,137.4832306,540.7999878,179.5091095,359,1081.599976,93.9405365,1325.599976,77,76.80000305,23.17261667,17
4,73,241,73,268.2962952,143.8660431,519.2000122,179.1310883,256.7999878,575.2000122,94.98871613,742,74,74.5,14.50428333,16
4,74,237,74.5,266.2962952,150.6192322,259.2000122,183.1137085,259.6000061,590.4000244,96.71744537,736.7999878,74.5,74.80000305,17.83933333,15
4,75,150,76.5,103.8888931,148.0368958,413.6000061,180.4600677,257.3999939,480.2000122,100.8376694,556,75.5,75.90000153,25.3391,14
4,76,206,74.5,233.1481476,153.1851959,560.4000244,190.2686615,260.6000061,877.5999756,98.60894012,939.5999756,74,74.30000305,16.67095,13
4,77,75,75.5,85.57407379,155.4022064,235.8999939,197.28125,263.3999939,458.3999939,94.7482605,476,72.5,72.69999695,10.00195,12
4,78,74.5,77,84.51851654,156.2702637,377.6000061,187.28125,256,475.7999878,99.90364838,519.5999756,76.5,76.5,20.672,11
4,79,75.5,76,86.57407379,153.0665588,260.7999878,191.234375,263,431,97.88021088,455.3999939,74.5,74.69999695,18.50383333,10
4,80,79,77,88.98148346,154.7557831,260.6000061,190.6128387,259.7999878,332.3999939,100.2174454,327.2000122,76,76.5,16.50321667,9
4,81,266,78,268.0740662,156.4872894,255,189.5164948,257.2000122,496.2000122,99.75998688,638.4000244,78,78.30000305,17.83871667,8
